N,Iterations
1,1
2,1
3,2
4,2
5,3
6,3
7,4
8,3
9,4
10,4
11,6
12,4
13,7
14,5
15,5
16,4
17,5
18,5
19,10
20,5
21,7
22,7
23,12
24,5
25,11
26,8
27,10
28,6
29,15
30,6
31,6
32,5
33,6
34,6
35,13
36,6
37,19
38,11
39,13
40,6
41,11
42,8
43,8
44,8
45,13
46,13
47,24
48,6
49,22
50,12
51,9
52,9
53,27
54,11
55,21
56,7
57,10
58,16
59,30
60,7
61,31
62,7
63,7
64,6
65,7
66,7
67,34
68,7
69,23
70,14
71,36
72,7
73,10
74,20
75,21
76,12
77,31
78,14
79,40
80,7
81,28
82,12
83,42
84,9
85,9
86,9
87,29
88,9
89,12
90,14
91,13
92,14
93,11
94,25
95,37
96,7
97,25
98,23
99,16
100,13
101,51
102,10
103,52
104,10
105,13
106,28
107,54
108,12
109,19
110,22
111,37
112,8
113,15
114,11
115,45
116,17
117,13
118,31
119,25
120,8
121,56
122,32
123,21
124,8
125,51
126,8
127,8
128,7
129,8
130,8
131,66
132,8
133,19
134,35
135,37
136,8
137,35
138,24
139,70
140,15
141,47
142,37
143,61
144,8
145,15
146,11
147,43
148,21
149,75
150,22
151,16
152,13
153,25
154,32
155,21
156,15
157,27
158,41
159,53
160,8
161,34
162,29
163,82
164,13
165,21
166,43
167,84
168,10
169,79
170,10
171,10
172,10
173,87
174,30
175,61
176,10
177,30
178,13
179,90
180,15
181,91
182,14
183,61
184,15
185,19
186,12
187,41
188,26
189,19
190,38
191,96
192,8
193,49
194,26
195,13
196,24
197,99
198,17
199,100
200,14
201,34
202,52
203,85
204,11
205,11
206,53
207,67
208,11
209,46
210,14
211,106
212,29
213,71
214,55
215,29
216,13
217,16
218,20
219,19
220,23
221,25
222,38
223,38
224,9
225,61
226,16
227,114
228,12
229,39
230,46
231,31
232,18
233,30
234,14
235,93
236,32
237,79
238,26
239,120
240,9
241,13
242,57
243,82
244,33
245,85
246,22
247,37
248,9
249,42
250,52
251,26
252,9
253,111
254,9
255,9
256,8
257,9
258,9
259,37
260,9
261,85
262,67
263,132
264,9
265,27
266,20
267,23
268,36
269,135
270,38
271,136
272,9
273,13
274,36
275,21
276,25
277,47
278,71
279,31
280,16
281,36
282,48
283,48
284,38
285,37
286,62
287,61
288,9
289,69
290,16
291,49
292,12
293,147
294,44
295,117
296,22
297,46
298,76
299,133
300,23
301,43
302,17
303,101
304,14
305,31
306,26
307,52
308,33
309,103
310,22
311,156
312,16
313,79
314,28
315,13
316,42
317,159
318,54
319,141
320,9
321,54
322,35
323,73
324,30
325,31
326,83
327,37
328,14
329,70
330,22
331,16
332,44
333,37
334,85
335,133
336,11
337,22
338,80
339,29
340,11
341,11
342,11
343,148
344,11
345,45
346,88
347,174
348,31
349,175
350,62
351,37
352,11
353,45
354,31
355,141
356,14
357,25
358,91
359,180
360,16
361,172
362,92
363,56
364,15
365,37
366,62
367,184
368,16
369,61
370,20
371,157
372,13
373,187
374,42
375,101
376,27
377,43
378,20
379,190
380,39
381,15
382,97
383,192
384,9
385,61
386,50
387,22
388,27
389,195
390,14
391,89
392,25
393,66
394,100
395,157
396,18
397,23
398,101
399,19
400,15
401,101
402,35
403,61
404,53
405,109
406,86
407,181
408,12
409,103
410,12
411,69
412,54
413,175
414,68
415,165
416,12
417,70
418,47
419,210
420,15
421,211
422,107
423,139
424,30
425,41
426,72
427,61
428,56
429,61
430,30
431,44
432,14
433,37
434,17
435,29
436,21
437,199
438,20
439,74
440,24
441,43
442,26
443,222
444,39
445,45
446,39
447,149
448,10
449,113
450,62
451,21
452,17
453,31
454,115
455,13
456,13
457,39
458,40
459,73
460,47
461,231
462,32
463,232
464,19
465,21
466,31
467,234
468,15
469,67
470,94
471,53
472,33
473,36
474,80
475,181
476,27
477,157
478,121
479,240
480,10
481,19
482,14
483,67
484,58
485,49
486,83
487,244
488,34
489,82
490,86
491,246
492,23
493,57
494,38
495,61
496,10
497,106
498,43
499,84
500,53
501,167
502,27
503,252
504,10
505,51
506,112
507,157
508,10
509,255
510,10
511,10
512,9
513,10
514,10
515,205
516,10
517,231
518,38
519,173
520,10
521,131
522,86
523,262
524,68
525,61
526,133
527,41
528,10
529,254
530,28
531,88
532,21
533,31
534,24
535,213
536,37
537,90
538,136
539,211
540,39
541,271
542,137
543,181
544,10
545,19
546,14
547,274
548,37
549,61
550,22
551,253
552,26
553,40
554,48
555,37
556,72
557,279
558,32
559,85
560,17
561,41
562,37
563,282
564,49
565,15
566,49
567,55
568,39
569,143
570,38
571,58
572,63
573,191
574,62
575,221
576,10
577,73
578,70
579,97
580,17
581,247
582,50
583,261
584,13
585,13
586,148
587,294
588,45
589,91
590,118
591,197
592,23
593,75
594,47
595,25
596,77
597,199
598,134
599,300
600,24
601,26
602,44
603,34
604,18
605,221
606,102
607,304
608,15
609,85
610,32
611,277
612,27
613,307
614,53
615,21
616,34
617,78
618,104
619,310
620,23
621,199
622,157
623,34
624,17
625,251
626,80
627,46
628,29
629,73
630,14
631,46
632,43
633,106
634,160
635,29
636,55
637,85
638,142
639,211
640,10
641,33
642,55
643,108
644,36
645,29
646,74
647,324
648,31
649,146
650,32
651,31
652,84
653,327
654,38
655,261
656,15
657,19
658,71
659,330
660,23
661,331
662,17
663,25
664,45
665,37
666,38
667,309
668,86
669,75
670,134
671,61
672,12
673,25
674,23
675,181
676,81
677,339
678,30
679,49
680,12
681,114
682,12
683,12
684,12
685,35
686,149
687,77
688,12
689,79
690,46
691,116
692,89
693,31
694,175
695,277
696,32
697,41
698,176
699,59
700,63
701,351
702,38
703,37
704,12
705,93
706,46
707,301
708,32
709,355
710,142
711,79
712,15
713,56
714,26
715,61
716,92
717,239
718,181
719,360
720,17
721,52
722,173
723,25
724,93
725,71
726,57
727,122
728,16
729,244
730,38
731,57
732,63
733,123
734,185
735,85
736,17
737,166
738,62
739,124
740,21
741,37
742,158
743,372
744,14
745,75
746,188
747,124
748,43
749,319
750,102
751,376
752,28
753,26
754,44
755,61
756,21
757,379
758,191
759,111
760,40
761,191
762,16
763,37
764,98
765,25
766,193
767,349
768,10
769,193
770,62
771,17
772,51
773,387
774,23
775,21
776,28
777,37
778,196
779,181
780,15
781,71
782,90
783,253
784,26
785,27
786,67
787,394
788,101
789,263
790,158
791,85
792,19
793,31
794,24
795,53
796,102
797,399
798,20
799,185
800,16
801,67
802,102
803,91
804,36
805,133
806,62
807,269
808,54
809,203
810,110
811,136
812,87
813,271
814,182
815,325
816,13
817,64
818,104
819,13
820,13
821,411
822,70
823,412
824,55
825,21
826,176
827,414
828,69
829,415
830,166
831,93
832,13
833,169
834,71
835,333
836,48
837,91
838,211
839,420
840,16
841,407
842,212
843,36
844,108
845,79
846,140
847,331
848,31
849,48
850,42
851,397
852,73
853,427
854,62
855,37
856,57
857,215
858,62
859,430
860,31
861,61
862,45
863,432
864,15
865,87
866,38
867,137
868,18
869,391
870,30
871,133
872,22
873,49
874,200
875,301
876,21
877,439
878,75
879,293
880,25
881,56
882,44
883,442
884,27
885,117
886,223
887,444
888,40
889,22
890,46
891,136
892,40
893,415
894,150
895,357
896,11
897,133
898,114
899,141
900,63
901,105
902,22
903,43
904,18
905,91
906,32
907,454
908,116
909,301
910,14
911,92
912,14
913,206
914,40
915,61
916,41
917,391
918,74
919,154
920,48
921,52
922,232
923,421
924,33
925,91
926,233
927,103
928,20
929,233
930,22
931,127
932,32
933,311
934,235
935,41
936,16
937,118
938,68
939,157
940,95
941,471
942,54
943,221
944,34
945,37
946,37
947,474
948,81
949,37
950,182
951,317
952,28
953,35
954,158
955,381
956,122
957,141
958,241
959,205
960,11
961,156
962,20
963,160
964,15
965,97
966,68
967,484
968,59
969,73
970,50
971,98
972,84
973,139
974,245
975,61
976,35
977,245
978,83
979,111
980,87
981,37
982,247
983,492
984,24
985,99
986,58
987,139
988,39
989,155
990,62
991,496
992,11
993,16
994,107
995,397
996,44
997,167
998,85
999,37
1000,54
1001,61
1002,168
1003,233
1004,28
1005,133
1006,253
1007,469
1008,11
1009,253
1010,52
1011,43
1012,113
1013,47
1014,158
1015,85
1016,11
1017,85
1018,256
1019,510
1020,11
1021,171
1022,11
1023,11
1024,10
